fault,count,percent,registros,rpm_distintos,rpm_min,rpm_max,rpm_values,primeira_ocorrencia,ultima_ocorrencia,duracao_horas
desbalanceado_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 17:44:42.531210+00:00,2026-06-05 17:50:20.421269+00:00,0.09385834972222222
rolamento_outer_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 17:54:56.297939+00:00,2026-06-05 18:00:40.530551+00:00,0.09562017
rolamento_inner_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 18:04:38.527384+00:00,2026-06-05 18:10:14.874933+00:00,0.09342987472222222
rolamento_ball_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 18:13:59.578780+00:00,2026-06-05 18:19:47.006653+00:00,0.0965077425
rolamento_combination_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 18:23:36.005349+00:00,2026-06-05 18:29:16.767537+00:00,0.09465616333333333
normal_2_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 18:32:29.771809+00:00,2026-06-05 18:39:02.014485+00:00,0.1089562988888889
desbalanceado_2_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 18:39:37.500357+00:00,2026-06-05 18:51:56.820454+00:00,0.20536669361111112
eccentric_rotor_2_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:06:07.403471+00:00,2026-06-05 19:11:50.798817+00:00,0.09538759611111111
cocked_rotor_2_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:16:28.362326+00:00,2026-06-05 19:22:56.741347+00:00,0.1078830613888889
normal_3_pos_2,150,0.08993021415381665,150,3,500.0,2000.0,"500, 1000, 2000",2026-06-05 19:28:23.558860+00:00,2026-06-05 19:34:14.914067+00:00,0.09759866861111112
